ПМК «Адреналин»,"Студия «Йога Айенгара»; студия рисования «Живопись для всех»; клуб любителей настольного тенниса; фитнес; теннис; школа экологической грамотности «Экопроводник»; спортивная секция «Территория спорта» (ОФП, курсы самообороны, карате); проект «Дневник патриота».","ул.Белорусская,д.6/2","59.936532, 30.499071",https://vk.com/pmk_adrenalin
ПМК «Аквамарин»,"Школа поисковика; военно-патриотические объединения; реконструкторская работа; допризывная подготовка.","ул. Ленская, д 5","59.940666, 30.482028",https://vk.com/whc_raid
